kind,doc_id,doc_saint,doc_title_english,doc_title_geez,doc_title_amharic,doc_title_transliteration,section_id,section_title_english,section_title_geez,section_title_amharic,section_title_transliteration,block_id,block_type,speaker,geez,amharic,english,transliteration,dynamic,overrideId,optional
block,,,,,,,,,,,,cy-pc-3,response,congregation,,,"The hosts of the angels of the Saviour of the world stand before the Saviour of the world, and encircle the Saviour of the world, even the body and blood of the Saviour of the world. Let us draw near the face of the Saviour of the world. In the faith that is of Him, let us submit ourselves to Christ.",,\N,\N,\N
block,,,,,,,,,,,,cy-pc-4,rubric,\N,,,"Asst. Deacon: Open ye the gates, princes.",,\N,\N,\N
block,,,,,,,,,,,,cy-pc-5,rubric,\N,,,"Deacon: Ye who are standing, bow your heads.",,\N,\N,\N
block,,,,,,,,,,,,cy-pc-6,prayer,priest,,,"The Father was with His Son and the Holy Spirit before there were hours and days, before there were months and years.",,\N,\N,\N
block,,,,,,,,,,,,cy-pc-7,prayer,priest,,,"The One was not before the Other, and the Second was not before the Third. How swift is the speed of lightning and how swift is the movement of eagles' wings.",,\N,\N,\N
block,,,,,,,,,,,,cy-pc-8,prayer,priest,,,"They are united without separation, connected without being mixed, They live in Trinity, They are joined in oneness, equal in persons and similar in light and appearance.",,\N,\N,\N
block,,,,,,,,,,,,cy-pc-9,prayer,priest,,,"The Father did not beget His Son to help Him in His work before the world was created, and the existence of the Holy Spirit is not to contribute wisdom and work.",,\N,\N,\N
block,,,,,,,,,,,,cy-pc-10,prayer,priest,,,"Let us speak of His birth from God the Father only. In that instance He had no mother because the existence of the creatures had not yet appeared. Again, let us speak of and proclaim the birth of Him Who is alone the Son of God, and, Who alone was born without an earthly Father from the Virgin, the daughter of David.",,\N,\N,\N
block,,,,,,,,,,,,cy-pc-11,prayer,priest,,,"His humanity was not inferior because He had no Father to be born of his seed, but was perfectly incarnate from a virgin only.",,\N,\N,\N
block,,,,,,,,,,,,cy-pc-12,prayer,priest,,,"As Eve's female nature was not inferior through having had no mother when she was formed from the bone of Adam's side, and as the building of the body of the first Adam did not lose anything when a bone of his side was taken away, so also the seal of Mary's virginity was not destroyed when she gave birth to the Father of Adam in the flesh;",,\N,\N,\N
block,,,,,,,,,,,,cy-pc-13,prayer,priest,,,"And as Adam did not feel pain when a bone was taken from his side, also the Galilean Mother of God did not feel travail.",,\N,\N,\N
block,,,,,,,,,,,,cy-pc-14,prayer,priest,,,Thus we believe and thus we affirm that this bread which we break is the body of Christ which He took from the daughter of the Hebrews.,,\N,\N,\N
